Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
T-D-MM1-VV2-REI120-CV30-X80-H210-6.0,"±11,8","±26,1",11.8,11.8,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV30-X80-H210-L500-6.0,T,D,MM1,VV2,REI120,CV30,X80,H210,6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H210-6.0,"±23,6","±52,2",23.6,23.6,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM1,VV2.2,REI120,CV30,X80,H210,6.0
T-D-MM1-VV3-REI120-CV30-X80-H210-6.0,"±10,4","±46,4",10.4,10.4,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV30-X80-H210-L500-6.0,T,D,MM1,VV3,REI120,CV30,X80,H210,6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H210-6.0,"±20,8","±92,8",20.8,20.8,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV30-X80-H210-L500-6.0,T,D,MM1,VV3.2,REI120,CV30,X80,H210,6.0
T-D-MM1-VV1-REI120-CV50-X80-H250-6.0,"±12,4","±17,4",12.4,12.4,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV50-X80-H250-L500-6.0,T,D,MM1,VV1,REI120,CV50,X80,H250,6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H250-6.0,"±24,8","±34,8",24.8,24.8,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM1,VV1.2,REI120,CV50,X80,H250,6.0
T-D-MM1-VV2-REI120-CV50-X80-H250-6.0,"±11,8","±26,1",11.8,11.8,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV50-X80-H250-L500-6.0,T,D,MM1,VV2,REI120,CV50,X80,H250,6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H250-6.0,"±23,6","±52,2",23.6,23.6,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM1,VV2.2,REI120,CV50,X80,H250,6.0
T-D-MM1-VV3-REI120-CV50-X80-H250-6.0,"±10,4","±46,4",10.4,10.4,46.4,46.4,C25/30,L500,T-D-MM1-VV3-REI120-CV50-X80-H250-L500-6.0,T,D,MM1,VV3,REI120,CV50,X80,H250,6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H250-6.0,"±20,8","±92,8",20.8,20.8,92.8,92.8,C25/30,L500,T-D-MM1-VV3.2-REI120-CV50-X80-H250-L500-6.0,T,D,MM1,VV3.2,REI120,CV50,X80,H250,6.0
