Encoded,MrD,vRd,TableName
T-D-MM1-VV3.2-REI120-CV35-X80-H210-6.0,20.0,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H210-6.0,12.4,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H210-6.0,24.8,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H210-6.0,11.8,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H210-6.0,23.6,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H210-6.0,10.4,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H210-6.0,20.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV50-X80-H250-6.0,12.4,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H250-6.0,24.8,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV50-X80-H250-6.0,11.8,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H250-6.0,23.6,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV50-X80-H250-6.0,10.4,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H250-6.0,20.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H220-6.0,12.8,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H220-6.0,25.6,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H220-6.0,12.2,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H220-6.0,24.4,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H220-6.0,10.7,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H220-6.0,21.4,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H220-6.0,13.3,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H220-6.0,26.6,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H220-6.0,12.6,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H220-6.0,25.2,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H220-6.0,11.1,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H220-6.0,22.2,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H230-6.0,13.7,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H230-6.0,27.4,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H230-6.0,13.1,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H230-6.0,26.2,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H230-6.0,11.5,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H230-6.0,23.0,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H230-6.0,14.2,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H230-6.0,28.4,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H230-6.0,13.5,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H230-6.0,27.0,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H230-6.0,11.9,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H230-6.0,23.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H240-6.0,14.6,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H240-6.0,29.2,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H240-6.0,13.9,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H240-6.0,27.8,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H240-6.0,12.3,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H240-6.0,24.6,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H240-6.0,15.1,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H240-6.0,30.2,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H240-6.0,14.3,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H240-6.0,28.6,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H240-6.0,12.6,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H240-6.0,25.2,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H250-6.0,16.0,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H250-6.0,32.0,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H250-6.0,15.2,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H250-6.0,30.4,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H250-6.0,13.4,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H250-6.0,26.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM2-VV1-REI120-CV35-X80-H160-6.0,11.2,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV35-X80-H160-6.0,22.4,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV30-X80-H160-6.0,11.8,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV30-X80-H160-6.0,23.6,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV50-X80-H200-6.0,11.8,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV50-X80-H200-6.0,23.6,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV35-X80-H170-6.0,12.5,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV35-X80-H170-6.0,25.0,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV35-X80-H170-6.0,11.6,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV35-X80-H170-6.0,23.2,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV30-X80-H170-6.0,13.2,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV30-X80-H170-6.0,26.4,52.2,Schock_Isokorb_T_Typ_D_6.0_2
